LocationID;LocationType;Date;tre200dx
4050;1;202309270000;23.4
4192;1;202309270000;20.2
4193;1;202309270000;20.4
4194;1;202309270000;21.5
4196;1;202309270000;20.9
4197;1;202309270000;21.2
4198;1;202309270000;18.7
4199;1;202309270000;18.5
4259;1;202309270000;21.4
4270;1;202309270000;17.3
4271;1;202309270000;16.4
4281;1;202309270000;22.3
4282;1;202309270000;21.4
4284;1;202309270000;20.3
4288;1;202309270000;21.6
4290;1;202309270000;21.6
4291;1;202309270000;14.5
4292;1;202309270000;22.3
4293;1;202309270000;17.8
4294;1;202309270000;16.6
4295;1;202309270000;19.1
4297;1;202309270000;17.2
4298;1;202309270000;22.2
4299;1;202309270000;20.3
4300;1;202309270000;25.1
4302;1;202309270000;23.8
4304;1;202309270000;23.3
4305;1;202309270000;25.0
4306;1;202309270000;21.7
4309;1;202309270000;17.1
4310;1;202309270000;15.4
4311;1;202309270000;13.7
4312;1;202309270000;17.5
4313;1;202309270000;17.0
4314;1;202309270000;18.0
4315;1;202309270000;17.8
4316;1;202309270000;15.0
4317;1;202309270000;14.1
4319;1;202309270000;16.8
4320;1;202309270000;15.6
4321;1;202309270000;22.0
4322;1;202309270000;21.6
4323;1;202309270000;21.1
4325;1;202309270000;21.5
4326;1;202309270000;22.3
4327;1;202309270000;21.4
4330;1;202309270000;21.6
4331;1;202309270000;22.2
4332;1;202309270000;21.5
4335;1;202309270000;21.1
4336;1;202309270000;21.9
4337;1;202309270000;23.0
4339;1;202309270000;21.9
4340;1;202309270000;23.4
4342;1;202309270000;21.5
4346;1;202309270000;23.0
4347;1;202309270000;21.6
4350;1;202309270000;20.6
4352;1;202309270000;20.9
4354;1;202309270000;20.8
4356;1;202309270000;22.5
4357;1;202309270000;21.5
4359;1;202309270000;21.0
4360;1;202309270000;22.0
4361;1;202309270000;20.2
4362;1;202309270000;20.4
4363;1;202309270000;21.3
4365;1;202309270000;19.0
4366;1;202309270000;19.9
4367;1;202309270000;21.5
4370;1;202309270000;22.1
4372;1;202309270000;22.0
4373;1;202309270000;21.1
4374;1;202309270000;21.0
4375;1;202309270000;21.7
4377;1;202309270000;18.9
4378;1;202309270000;20.1
4379;1;202309270000;20.8
4380;1;202309270000;20.1
4381;1;202309270000;21.1
4382;1;202309270000;21.7
4383;1;202309270000;20.9
4385;1;202309270000;19.9
4387;1;202309270000;23.5
4389;1;202309270000;24.2
4390;1;202309270000;24.0
4391;1;202309270000;23.2
4392;1;202309270000;21.7
4393;1;202309270000;19.1
4394;1;202309270000;20.3
4395;1;202309270000;19.6
4396;1;202309270000;21.3
4401;1;202309270000;19.9
4404;1;202309270000;21.8
4405;1;202309270000;19.6
4406;1;202309270000;21.4
4407;1;202309270000;19.4
4409;1;202309270000;21.8
4412;1;202309270000;23.9
4413;1;202309270000;23.3
4415;1;202309270000;23.4
4416;1;202309270000;24.0
4417;1;202309270000;18.9
4418;1;202309270000;21.4
4419;1;202309270000;21.4
4420;1;202309270000;21.1
4431;1;202309270000;17.6
4459;1;202309270000;14.4
4461;1;202309270000;21.6
4462;1;202309270000;18.8
4463;1;202309270000;21.0
4464;1;202309270000;21.0
4465;1;202309270000;20.5
4467;1;202309270000;21.2
4468;1;202309270000;23.7
4469;1;202309270000;19.5
4470;1;202309270000;16.6
4471;1;202309270000;22.4
4472;1;202309270000;21.5
4473;1;202309270000;21.1
4474;1;202309270000;24.1
4476;1;202309270000;22.0
4477;1;202309270000;21.8
4478;1;202309270000;20.5
4479;1;202309270000;23.1
4480;1;202309270000;20.0
4481;1;202309270000;20.9
4482;1;202309270000;21.1
4483;1;202309270000;18.8
4484;1;202309270000;21.2
4485;1;202309270000;16.1
4486;1;202309270000;21.5
4489;1;202309270000;21.1
4490;1;202309270000;18.2
4491;1;202309270000;19.6
4492;1;202309270000;21.9
4493;1;202309270000;20.8
4494;1;202309270000;18.6
4495;1;202309270000;19.9
4496;1;202309270000;16.6
