LocationID;LocationType;Date;tre200dn
4292;1;202309270000;10.5
4293;1;202309270000;6.2
4294;1;202309270000;7.1
4295;1;202309270000;9.1
4297;1;202309270000;9.3
4298;1;202309270000;12.8
4299;1;202309270000;13.3
4300;1;202309270000;13.9
4302;1;202309270000;10.2
4304;1;202309270000;12.8
4305;1;202309270000;15.0
4306;1;202309270000;10.4
4309;1;202309270000;5.1
4310;1;202309270000;6.6
4311;1;202309270000;5.5
4312;1;202309270000;6.2
4313;1;202309270000;6.1
4314;1;202309270000;6.3
4315;1;202309270000;8.1
4316;1;202309270000;6.2
4317;1;202309270000;6.7
4319;1;202309270000;8.3
4320;1;202309270000;8.9
4321;1;202309270000;7.8
4322;1;202309270000;8.9
4323;1;202309270000;8.9
4325;1;202309270000;9.0
4326;1;202309270000;9.5
4327;1;202309270000;7.3
4330;1;202309270000;8.4
4331;1;202309270000;7.8
4332;1;202309270000;6.3
4335;1;202309270000;7.8
4336;1;202309270000;8.1
4337;1;202309270000;6.3
4339;1;202309270000;7.7
4340;1;202309270000;9.5
4342;1;202309270000;10.2
4346;1;202309270000;8.8
4347;1;202309270000;6.8
4350;1;202309270000;8.4
4352;1;202309270000;8.8
4354;1;202309270000;8.7
4356;1;202309270000;8.3
4357;1;202309270000;8.7
4359;1;202309270000;7.2
4360;1;202309270000;8.9
4361;1;202309270000;7.5
4362;1;202309270000;6.8
4363;1;202309270000;9.5
4365;1;202309270000;7.5
4366;1;202309270000;10.4
4367;1;202309270000;9.4
4370;1;202309270000;10.3
4372;1;202309270000;9.8
4373;1;202309270000;9.6
4374;1;202309270000;8.4
4375;1;202309270000;8.9
4377;1;202309270000;9.4
4378;1;202309270000;6.5
4379;1;202309270000;8.8
4380;1;202309270000;10.0
4381;1;202309270000;9.1
4382;1;202309270000;9.7
4383;1;202309270000;10.1
4385;1;202309270000;10.3
4387;1;202309270000;11.9
4389;1;202309270000;12.0
4390;1;202309270000;11.8
4391;1;202309270000;13.8
4392;1;202309270000;11.7
4393;1;202309270000;8.1
4394;1;202309270000;11.0
4395;1;202309270000;10.2
4396;1;202309270000;9.6
4401;1;202309270000;10.9
4404;1;202309270000;9.7
4405;1;202309270000;9.3
4406;1;202309270000;8.5
4407;1;202309270000;10.0
4409;1;202309270000;9.9
4412;1;202309270000;6.8
4413;1;202309270000;8.5
4415;1;202309270000;8.4
4416;1;202309270000;7.6
4417;1;202309270000;10.5
4418;1;202309270000;9.6
4419;1;202309270000;10.0
4420;1;202309270000;8.4
4431;1;202309270000;11.0
4459;1;202309270000;5.0
4461;1;202309270000;9.7
4462;1;202309270000;7.4
4463;1;202309270000;10.3
4464;1;202309270000;7.9
4465;1;202309270000;8.5
4467;1;202309270000;8.3
4468;1;202309270000;13.3
4469;1;202309270000;5.4
4470;1;202309270000;6.2
4471;1;202309270000;9.9
4472;1;202309270000;6.6
4473;1;202309270000;4.8
4474;1;202309270000;13.0
4476;1;202309270000;9.9
4477;1;202309270000;10.6
4478;1;202309270000;10.4
4479;1;202309270000;5.9
4480;1;202309270000;8.9
4481;1;202309270000;9.3
4482;1;202309270000;8.3
4483;1;202309270000;6.5
4484;1;202309270000;9.3
4485;1;202309270000;5.1
4486;1;202309270000;9.9
4489;1;202309270000;11.4
4490;1;202309270000;7.8
4491;1;202309270000;9.0
4492;1;202309270000;9.2
4493;1;202309270000;3.7
4494;1;202309270000;8.7
4495;1;202309270000;7.4
4496;1;202309270000;6.0
4497;1;202309270000;6.5
4498;1;202309270000;7.3
4499;1;202309270000;7.4
4500;1;202309270000;10.4
4501;1;202309270000;5.0
4615;1;202309270000;8.6
4616;1;202309270000;9.6
4624;1;202309270000;1.5
4640;1;202309270000;10.3
4641;1;202309270000;10.9
4643;1;202309270000;8.2
4644;1;202309270000;6.7
4646;1;202309270000;9.7
4647;1;202309270000;8.9
4648;1;202309270000;11.4
4649;1;202309270000;9.6
4650;1;202309270000;8.8
4651;1;202309270000;7.7
4652;1;202309270000;10.1
4653;1;202309270000;9.6
4654;1;202309270000;7.9
4655;1;202309270000;8.4
4656;1;202309270000;8.2
4657;1;202309270000;10.0
4658;1;202309270000;8.6
4659;1;202309270000;10.0
4660;1;202309270000;8.8
4661;1;202309270000;10.8
4662;1;202309270000;11.5
4663;1;202309270000;9.8
4664;1;202309270000;7.3
4665;1;202309270000;8.8
4707;1;202309270000;10.0
4737;1;202309270000;8.9
4753;1;202309270000;8.8
4776;1;202309270000;11.2
4789;1;202309270000;9.0
4793;1;202309270000;8.2
4801;1;202309270000;8.2
4819;1;202309270000;6.0
4824;1;202309270000;9.0
4826;1;202309270000;9.0
4841;1;202309270000;10.5
4850;1;202309270000;9.0
4857;1;202309270000;9.3
4862;1;202309270000;10.7
4864;1;202309270000;8.4
4870;1;202309270000;4.7
4871;1;202309270000;6.4
4872;1;202309270000;9.9
4880;1;202309270000;6.6
4916;1;202309270000;6.4
4941;1;202309270000;8.5
4945;1;202309270000;9.9
4964;1;202309270000;2.7
4968;1;202309270000;8.1
4970;1;202309270000;8.2
4972;1;202309270000;7.1
4973;1;202309270000;9.4
4974;1;202309270000;8.4
4975;1;202309270000;4.9
4976;1;202309270000;5.6
4977;1;202309270000;6.6
4978;1;202309270000;9.6
4979;1;202309270000;4.2
4980;1;202309270000;7.6
4981;1;202309270000;7.5
4982;1;202309270000;7.8
5003;1;202309270000;8.4
5005;1;202309270000;8.8
5022;1;202309270000;8.0
5023;1;202309270000;8.1
5024;1;202309270000;8.4
5025;1;202309270000;11.9
5026;1;202309270000;11.0
5031;1;202309270000;4.4
5032;1;202309270000;8.1
5124;1;202309270000;6.5
10101;1;202309270000;8.1
10102;1;202309270000;6.7
10103;1;202309270000;9.4
10104;1;202309270000;8.6
10105;1;202309270000;7.1
10106;1;202309270000;8.8
10107;1;202309270000;8.5
10108;1;202309270000;8.8
10109;1;202309270000;6.4
10110;1;202309270000;9.8
10111;1;202309270000;11.7
10113;1;202309270000;9.9
10114;1;202309270000;11.4
10115;1;202309270000;6.3
10116;1;202309270000;7.6
10117;1;202309270000;9.8
10118;1;202309270000;8.8
10119;1;202309270000;12.4
10120;1;202309270000;8.0
10121;1;202309270000;9.2
10122;1;202309270000;9.6
10123;1;202309270000;9.4
10124;1;202309270000;10.6
10125;1;202309270000;11.4
10126;1;202309270000;9.8
10131;1;202309270000;9.6
10132;1;202309270000;8.8
10133;1;202309270000;7.4
10134;1;202309270000;7.7
10135;1;202309270000;10.0
10136;1;202309270000;7.3
10137;1;202309270000;8.2
10138;1;202309270000;8.4
10139;1;202309270000;6.7
10140;1;202309270000;7.1
10141;1;202309270000;6.9
10142;1;202309270000;6.8
10143;1;202309270000;12.0
10144;1;202309270000;9.9
10145;1;202309270000;11.1
10146;1;202309270000;8.0
10147;1;202309270000;10.0
10148;1;202309270000;7.2
10149;1;202309270000;7.4
10150;1;202309270000;7.2
10152;1;202309270000;9.1
10153;1;202309270000;9.4
10154;1;202309270000;5.7
10155;1;202309270000;6.1
10156;1;202309270000;9.1
10157;1;202309270000;7.5
10158;1;202309270000;6.6
10159;1;202309270000;12.2
10161;1;202309270000;9.4
10162;1;202309270000;11.7
10163;1;202309270000;8.3
10164;1;202309270000;11.7
10165;1;202309270000;8.5
10166;1;202309270000;12.2
10167;1;202309270000;12.9
10168;1;202309270000;7.7
10169;1;202309270000;8.9
10170;1;202309270000;9.3
10171;1;202309270000;7.9
10173;1;202309270000;8.0
10177;1;202309270000;9.1
10179;1;202309270000;6.6
10184;1;202309270000;13.1
10186;1;202309270000;4.6
10187;1;202309270000;9.8
10188;1;202309270000;9.0
